max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,sensitivity,specificity
3,2,5,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
2,10,2,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,5,2,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,10,5,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,20,1,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
2,20,2,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,5,5,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,20,5,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,10,5,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,2,2,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
2,10,5,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
2,20,2,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
2,2,5,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,20,1,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,2,2,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,5,10,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
3,2,10,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
2,10,1,gini,0.7241628006185677,0.6922920892494928,0.7559101132785344
5,5,1,gini,0.7231518854419191,0.6947261663286004,0.7514689404163087
5,5,1,gini,0.7231518854419191,0.6947261663286004,0.7514689404163087
5,2,5,gini,0.7231518854419191,0.6949290060851927,0.7512669202142886
5,2,2,gini,0.7230506708670202,0.6947261663286004,0.7512669202142885
5,2,1,entropy,0.7230501581285456,0.6939148073022312,0.7520762278657015
5,2,1,entropy,0.7230501581285456,0.6939148073022312,0.7520762278657015
5,10,2,entropy,0.7230501581285456,0.6939148073022312,0.7520762278657015
5,10,1,entropy,0.7230501581285456,0.6939148073022312,0.7520762278657015
5,2,2,entropy,0.7230501581285456,0.6939148073022312,0.7520762278657015
5,10,2,entropy,0.7230501581285456,0.6939148073022312,0.7520762278657015
5,20,2,entropy,0.7230501581285456,0.6939148073022312,0.7520762278657015
5,20,1,gini,0.7229493537444266,0.6945233265720081,0.7512669202142886
2,5,5,entropy,0.7219360799707945,0.6825557809330628,0.7611626385310596
2,2,10,entropy,0.7219360799707945,0.6825557809330628,0.7611626385310596
2,10,2,entropy,0.7219360799707945,0.6825557809330628,0.7611626385310596
2,2,5,entropy,0.7219360799707945,0.6825557809330628,0.7611626385310596
2,20,1,entropy,0.7219360799707945,0.6825557809330628,0.7611626385310596
2,2,1,entropy,0.7219360799707945,0.6825557809330628,0.7611626385310596
4,2,5,entropy,0.7214289816193511,0.7129817444219066,0.7298290598290599
4,5,5,entropy,0.7214289816193511,0.7129817444219066,0.7298290598290599
4,20,2,entropy,0.7214289816193511,0.7129817444219066,0.7298290598290599
4,10,10,gini,0.7210239182243662,0.7070993914807302,0.734879564879565
4,10,10,gini,0.7210239182243662,0.7070993914807302,0.734879564879565
4,5,10,gini,0.7210239182243662,0.7070993914807302,0.734879564879565
4,20,10,gini,0.7210239182243662,0.7070993914807302,0.734879564879565
3,2,2,entropy,0.7209239342218066,0.6969574036511156,0.7447990021674232
3,5,2,entropy,0.7209239342218066,0.6969574036511156,0.7447990021674232
3,20,10,entropy,0.7209239342218066,0.6969574036511156,0.7447990021674232
3,5,1,entropy,0.7209239342218066,0.6969574036511156,0.7447990021674232
3,10,5,entropy,0.7209239342218066,0.6969574036511156,0.7447990021674232
3,10,2,entropy,0.7209239342218066,0.6969574036511156,0.7447990021674232
4,10,10,entropy,0.7209229087448572,0.7068965517241379,0.734879564879565
4,20,10,entropy,0.7209229087448572,0.7068965517241379,0.734879564879565
